"title","year","content.rating","user.rating","num.raters","genre","budget","opening","gross"
"North by Northwest",1959,"Approved",8.4,203308,"Adventure Mystery Thriller",3101000,NA,13275000
"Oldeuboi",2003,"R",8.4,320419,"Drama Mystery Thriller",3e+06,885382,1956671
"Princess Mononoke",1997,"PG-13",8.4,198366,"Animation Adventure Fantasy",NA,144446,2375308
"Vertigo",1958,"Approved",8.4,224685,"Mystery Romance Thriller",2479000,10783,1.5e+07
"Das Boot",1981,"R",8.4,154739,"Adventure Drama War",1.4e+07,68369,11487676
"Star Wars: Episode VI - Return of the Jedi",1983,"PG",8.4,574419,"Action Adventure Fantasy Sci-Fi",32500000,16293531,309125409
"M",1931,"Not Rated",8.4,90486,"Crime Drama Thriller",NA,6123,28877
"Once Upon a Time in America",1984,"R",8.4,200435,"Crime Drama",3e+07,2412014,5321508
"Amélie",2001,"R",8.4,486679,"Comedy Romance",NA,136470,33201661
"Witness for the Prosecution",1957,"Approved",8.4,55226,"Drama Mystery Thriller",3e+06,NA,NA
"Reservoir Dogs",1992,"R",8.4,596292,"Crime Drama",1200000,147839,2832029
"Braveheart",1995,"R",8.4,671365,"Biography Drama History War",7.2e+07,9938276,75609945
"Toy Story 3",2010,"G",8.4,486081,"Animation Adventure Comedy Family Fantasy",2e+08,110307189,415004880
"A Clockwork Orange",1971,"X",8.4,504606,"Crime Drama Sci-Fi",2200000,NA,26589355
"Taxi Driver",1976,"R",8.4,457436,"Crime Drama",1300000,NA,28262574
"Requiem for a Dream",2000,"R",8.4,524417,"Drama",4500000,64770,3609278
"Double Indemnity",1944,"Passed",8.4,88966,"Crime Drama Film-Noir Thriller",927262,NA,NA
"To Kill a Mockingbird",1962,"Not Rated",8.4,193970,"Drama",2e+06,NA,13129846
"Lawrence of Arabia",1962,"PG",8.4,174930,"Adventure Biography Drama History War",1.5e+07,20846,342481
"Eternal Sunshine of the Spotless Mind",2004,"R",8.4,605299,"Drama Romance Sci-Fi",2e+07,8175198,34126138
"Full Metal Jacket",1987,"R",8.3,437835,"Drama War",1.7e+07,2217307,46357676
"Amadeus",1984,"R",8.3,246325,"Biography Drama History Music",1.8e+07,86764,366401
"The Sting",1973,"PG",8.3,159802,"Comedy Crime Drama",5500000,NA,1.56e+08
"Bicycle Thieves",1948,"Not Rated",8.4,84489,"Drama",NA,25010,332930
"Singin' in the Rain",1952,"Approved",8.4,136294,"Comedy Musical Romance",2540800,NA,1729345
"2001: A Space Odyssey",1968,"G",8.3,384555,"Mystery Sci-Fi",10500000,NA,239621
"Snatch.",2000,"R",8.3,550261,"Comedy Crime",NA,8005163,30093107
